TIMESTAMP,Counter,DepthCm,Latitude,Longitude
13/04/2016 7:28,102193,31.24,79.982517,-86.285507
13/04/2016 7:28,102194,32.25,79.982522,-86.285545
13/04/2016 7:28,102195,14.49,79.982522,-86.285588
13/04/2016 7:28,102196,22.13,79.982533,-86.285640
13/04/2016 7:28,102197,38.43,79.982533,-86.285660
13/04/2016 7:28,102198,35.51,79.982547,-86.285755
13/04/2016 7:28,102199,15.67,79.982553,-86.285807
13/04/2016 7:28,102200,24.27,79.982552,-86.285848
13/04/2016 7:28,102201,9.38,79.982558,-86.285948
13/04/2016 7:28,102202,28.94,79.982553,-86.285995
13/04/2016 7:28,102203,27.19,79.982567,-86.286085
13/04/2016 7:28,102204,18.42,79.982570,-86.286102
13/04/2016 7:28,102205,6.902,79.982578,-86.286177
13/04/2016 7:28,102206,7.52,79.982583,-86.286253
13/04/2016 7:28,102207,7.408,79.982588,-86.286307
13/04/2016 7:28,102208,9.54,79.982598,-86.286373
13/04/2016 7:28,102209,8.64,79.982602,-86.286478
13/04/2016 7:28,102210,54.12,79.982607,-86.286557
13/04/2016 7:28,102211,54.51,79.982615,-86.286583
13/04/2016 7:28,102212,53.72,79.982613,-86.286642
13/04/2016 7:28,102213,53.67,79.982615,-86.286710
13/04/2016 7:28,102214,56.2,79.982622,-86.286772
13/04/2016 7:28,102215,63.5,79.982630,-86.286810
13/04/2016 7:28,102216,43.16,79.982633,-86.286815
13/04/2016 7:28,102217,42.99,79.982642,-86.286890
13/04/2016 7:28,102218,67.72,79.982635,-86.286900
13/04/2016 7:28,102219,61.14,79.982625,-86.286912
13/04/2016 7:28,102220,42.09,79.982618,-86.286920
13/04/2016 7:28,102221,35.46,79.982602,-86.286993
13/04/2016 7:28,102222,36.19,79.982597,-86.287015
13/04/2016 7:28,102223,9.21,79.982582,-86.287043
13/04/2016 7:28,102224,8.87,79.982573,-86.287053
13/04/2016 7:28,102225,16.96,79.982567,-86.287080
13/04/2016 7:28,102226,5.609,79.982558,-86.287100
13/04/2016 7:28,102227,5.721,79.982553,-86.287140
13/04/2016 7:28,102228,18.54,79.982542,-86.287178
13/04/2016 7:28,102229,15.39,79.982537,-86.287198
13/04/2016 7:28,102230,7.408,79.982517,-86.287257
13/04/2016 7:28,102231,32.31,79.982512,-86.287260
13/04/2016 7:28,102232,30.06,79.982495,-86.287283
13/04/2016 7:28,102233,32.03,79.982487,-86.287347
13/04/2016 7:28,102234,26.63,79.982487,-86.287355
13/04/2016 7:28,102235,19.77,79.982482,-86.287382
13/04/2016 7:28,102236,9.71,79.982468,-86.287412
13/04/2016 7:28,102237,16.51,79.982462,-86.287415
13/04/2016 7:28,102238,1.562,79.982447,-86.287397
13/04/2016 7:29,102239,20.84,79.982450,-86.287348
13/04/2016 7:29,102240,20.39,79.982447,-86.287308
13/04/2016 7:29,102241,28.65,79.982438,-86.287253
13/04/2016 7:29,102242,24.16,79.982415,-86.287137
13/04/2016 7:29,102243,30.85,79.982407,-86.287097
13/04/2016 7:29,102244,19.49,79.982400,-86.286905
13/04/2016 7:29,102245,20,79.982402,-86.286858
13/04/2016 7:29,102246,20.9,79.982385,-86.286810
13/04/2016 7:29,102247,23.26,79.982372,-86.286825
13/04/2016 7:29,102248,11.01,79.982352,-86.286837
13/04/2016 7:29,102249,20.22,79.982345,-86.286823
13/04/2016 7:29,102250,12.02,79.982325,-86.286875
13/04/2016 7:29,102251,10.05,79.982312,-86.286853
13/04/2016 7:29,102252,12.3,79.982295,-86.286862
13/04/2016 7:29,102253,11.23,79.982282,-86.286883
13/04/2016 7:29,102254,4.485,79.982268,-86.286875
13/04/2016 7:29,102255,4.035,79.982258,-86.286890
13/04/2016 7:29,102256,4.26,79.982245,-86.286912
13/04/2016 7:29,102257,62.21,79.982237,-86.286898
